data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', '5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.06']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.06', '592F[4.00,0.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.68']"
"['5B01[4.00,4.00,0.00]=5.69', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.08', 'le_us=6134', 'est[-0.03,-0.02,-0.12,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.02', '592F[4.00,0.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.67', 'le_us=5218', 'est[-0.02,-0.02,-0.09,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.66']"
"['5B01[4.00,4.00,0.00]=5.70', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.71', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.68', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.01', 'le_us=6103', 'est[-0.02,-0.02,-0.07,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.07', '592F[4.00,0.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.69']"
"['5B01[4.00,4.00,0.00]=5.67', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.02', 'le_us=6103', 'est[-0.01,-0.02,-0.05,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.11', '5B01[4.00,4.00,0.00]=5.64', 'le_us=5218', 'est[-0.01,-0.01,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.03', '592F[4.00,0.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5706', 'est[-0.03,0.00,-0.02,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.94', '592F[4.00,0.00,0.00]=4.03', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[-0.02,-0.01,-0.03,45]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.14', '592F[4.00,0.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.62', 'le_us=5615', 'est[-0.04,-0.00,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.22', '592F[4.00,0.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.17']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.98', '1495[0.00,4.00,0.00]=4.00', 'le_us=2716', 'est[-0.02,-0.00,-0.02,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '592F[4.00,0.00,0.00]=3.92', '5B01[4.00,4.00,0.00]=5.46', 'le_us=3784', 'est[0.01,-0.09,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.21', '592F[4.00,0.00,0.00]=3.97', '1495[0.00,4.00,0.00]=4.76', '5B01[4.00,4.00,0.00]=5.47', 'le_us=5523', 'est[-0.01,-0.02,0.03,60]']"
"['CD37[0.00,0.00,0.00]=0.23', '592F[4.00,0.00,0.00]=3.87', '1495[0.00,4.00,0.00]=4.11', '5B01[4.00,4.00,0.00]=5.54', 'le_us=2777', 'est[0.03,-0.04,0.06,54]']"
"['CD37[0.00,0.00,0.00]=0.28', '592F[4.00,0.00,0.00]=3.83', '1495[0.00,4.00,0.00]=4.13', '5B01[4.00,4.00,0.00]=5.42', 'le_us=3143', 'est[0.11,-0.13,-0.00,71]']"
"['CD37[0.00,0.00,0.00]=0.29', '592F[4.00,0.00,0.00]=3.75', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.42', 'le_us=2746', 'est[0.15,-0.11,0.04,68]']"
"['CD37[0.00,0.00,0.00]=0.28', '592F[4.00,0.00,0.00]=3.82', '1495[0.00,4.00,0.00]=4.10', '5B01[4.00,4.00,0.00]=5.39', 'le_us=3143', 'est[0.20,-0.18,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.35', '592F[4.00,0.00,0.00]=3.72', '1495[0.00,4.00,0.00]=4.14', '5B01[4.00,4.00,0.00]=5.38', 'le_us=3112', 'est[0.26,-0.24,-0.09,71]']"
"['CD37[0.00,0.00,0.00]=0.32', '592F[4.00,0.00,0.00]=3.65', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.46', 'le_us=3662', 'est[0.26,-0.19,0.01,56]']"
"['CD37[0.00,0.00,0.00]=0.41', '592F[4.00,0.00,0.00]=3.69', '1495[0.00,4.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=6.43', 'le_us=7721', 'est[0.28,-0.16,0.07,68]']"
"['CD37[0.00,0.00,0.00]=0.42', '592F[4.00,0.00,0.00]=3.76', '1495[0.00,4.00,0.00]=4.12', '5B01[4.00,4.00,0.00]=6.16', 'le_us=7721', 'est[0.27,-0.14,0.13,54]']"
"['CD37[0.00,0.00,0.00]=0.43', '592F[4.00,0.00,0.00]=3.63', '1495[0.00,4.00,0.00]=4.18', '5B01[4.00,4.00,0.00]=6.44', 'le_us=7721', 'est[0.30,-0.15,0.13,69]']"
"['CD37[0.00,0.00,0.00]=0.51', '592F[4.00,0.00,0.00]=3.65', '1495[0.00,4.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=6.25', 'le_us=7721', 'est[0.31,-0.12,0.19,64]']"
"['CD37[0.00,0.00,0.00]=0.52', '592F[4.00,0.00,0.00]=3.59', '1495[0.00,4.00,0.00]=4.10', '5B01[4.00,4.00,0.00]=5.43', 'le_us=2746', 'est[0.34,-0.11,0.21,68]']"
"['CD37[0.00,0.00,0.00]=0.53', '592F[4.00,0.00,0.00]=3.53', '1495[0.00,4.00,0.00]=4.16', '5B01[4.00,4.00,0.00]=5.41', 'le_us=2746', 'est[0.38,-0.11,0.20,68]']"
"['CD37[0.00,0.00,0.00]=0.60', '592F[4.00,0.00,0.00]=3.51', '1495[0.00,4.00,0.00]=4.14', '5B01[4.00,4.00,0.00]=5.28', 'le_us=2807', 'est[0.41,-0.11,0.23,67]']"
"['CD37[0.00,0.00,0.00]=0.63', '592F[4.00,0.00,0.00]=3.46', '1495[0.00,4.00,0.00]=4.13', '5B01[4.00,4.00,0.00]=5.28', 'le_us=2960', 'est[0.44,-0.10,0.25,67]']"
"['CD37[0.00,0.00,0.00]=0.60', '592F[4.00,0.00,0.00]=3.50', '1495[0.00,4.00,0.00]=4.12', '5B01[4.00,4.00,0.00]=5.28', 'le_us=2746', 'est[0.46,-0.10,0.26,67]']"
"['CD37[0.00,0.00,0.00]=0.67', '592F[4.00,0.00,0.00]=3.39', '1495[0.00,4.00,0.00]=4.10', '5B01[4.00,4.00,0.00]=5.30', 'le_us=2990', 'est[0.50,-0.08,0.25,66]']"
"['CD37[0.00,0.00,0.00]=0.68', '592F[4.00,0.00,0.00]=3.47', '1495[0.00,4.00,0.00]=4.16', '5B01[4.00,4.00,0.00]=5.33', 'le_us=2746', 'est[0.52,-0.09,0.28,67]']"
"['CD37[0.00,0.00,0.00]=0.67', '592F[4.00,0.00,0.00]=3.36', '1495[0.00,4.00,0.00]=4.19', '5B01[4.00,4.00,0.00]=5.28', 'le_us=2960', 'est[0.55,-0.10,0.24,67]']"
"['CD37[0.00,0.00,0.00]=0.72', '592F[4.00,0.00,0.00]=3.38', '1495[0.00,4.00,0.00]=4.14', '5B01[4.00,4.00,0.00]=6.24', 'le_us=6347', 'est[0.57,-0.10,0.26,66]']"
"['CD37[0.00,0.00,0.00]=0.78', '592F[4.00,0.00,0.00]=3.41', '1495[0.00,4.00,0.00]=4.22', '5B01[4.00,4.00,0.00]=5.12', 'le_us=2899', 'est[0.58,-0.11,0.31,67]']"
"['CD37[0.00,0.00,0.00]=0.76', '592F[4.00,0.00,0.00]=3.34', '1495[0.00,4.00,0.00]=4.24', '5B01[4.00,4.00,0.00]=6.21', 'le_us=6195', 'est[0.61,-0.13,0.31,67]']"
"['CD37[0.00,0.00,0.00]=0.84', '592F[4.00,0.00,0.00]=3.37', '1495[0.00,4.00,0.00]=4.19', '5B01[4.00,4.00,0.00]=5.18', 'le_us=3021', 'est[0.62,-0.12,0.35,66]']"
"['CD37[0.00,0.00,0.00]=0.84', '592F[4.00,0.00,0.00]=3.37', '1495[0.00,4.00,0.00]=4.19', '5B01[4.00,4.00,0.00]=6.52', 'le_us=7690', 'est[0.63,-0.12,0.39,66]']"
"['CD37[0.00,0.00,0.00]=0.89', '592F[4.00,0.00,0.00]=3.32', '1495[0.00,4.00,0.00]=4.14', '5B01[4.00,4.00,0.00]=5.10', 'le_us=2777', 'est[0.66,-0.10,0.42,65]']"
"['CD37[0.00,0.00,0.00]=0.88', '592F[4.00,0.00,0.00]=3.22', '1495[0.00,4.00,0.00]=4.20', '5B01[4.00,4.00,0.00]=5.22', 'le_us=2807', 'est[0.69,-0.10,0.41,65]']"
"['CD37[0.00,0.00,0.00]=0.91', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=4.21', '5B01[4.00,4.00,0.00]=4.98', 'le_us=3112', 'est[0.78,-0.17,0.19,67]']"
"['CD37[0.00,0.00,0.00]=0.91', '592F[4.00,0.00,0.00]=3.23', '1495[0.00,4.00,0.00]=4.25', '5B01[4.00,4.00,0.00]=5.15', 'le_us=2990', 'est[0.79,-0.16,0.24,66]']"
"['CD37[0.00,0.00,0.00]=0.92', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=4.16', '5B01[4.00,4.00,0.00]=5.12', 'le_us=2746', 'est[0.80,-0.14,0.27,65]']"
"['CD37[0.00,0.00,0.00]=0.97', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=4.22', '5B01[4.00,4.00,0.00]=5.06', 'le_us=2990', 'est[0.82,-0.13,0.30,65]']"
"['CD37[0.00,0.00,0.00]=0.97', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=4.19', '5B01[4.00,4.00,0.00]=6.09', 'le_us=6134', 'est[0.84,-0.12,0.32,64]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=4.28', '5B01[4.00,4.00,0.00]=5.06', 'le_us=2777', 'est[0.86,-0.13,0.34,65]']"
"['CD37[0.00,0.00,0.00]=1.12', '592F[4.00,0.00,0.00]=3.12', '1495[0.00,4.00,0.00]=4.22', '5B01[4.00,4.00,0.00]=5.07', 'le_us=2746', 'est[0.88,-0.11,0.41,64]']"
"['CD37[0.00,0.00,0.00]=1.09', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=4.26', '5B01[4.00,4.00,0.00]=5.03', 'le_us=2777', 'est[0.90,-0.11,0.44,65]']"
"['CD37[0.00,0.00,0.00]=1.12', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=4.23', '5B01[4.00,4.00,0.00]=4.96', 'le_us=2777', 'est[0.91,-0.11,0.48,64]']"
"['CD37[0.00,0.00,0.00]=1.16', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=4.25', 'le_us=610', 'est[0.93,-0.10,0.51,73]']"
"['CD37[0.00,0.00,0.00]=1.16', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=4.28', '5B01[4.00,4.00,0.00]=4.96', 'le_us=2777', 'est[0.95,-0.11,0.51,65]']"
"['CD37[0.00,0.00,0.00]=1.23', '592F[4.00,0.00,0.00]=2.96', '1495[0.00,4.00,0.00]=4.24', '5B01[4.00,4.00,0.00]=4.99', 'le_us=2746', 'est[0.99,-0.10,0.52,63]']"
"['CD37[0.00,0.00,0.00]=1.23', '592F[4.00,0.00,0.00]=3.73', '1495[0.00,4.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=4.99', 'le_us=2502', 'est[0.85,0.09,0.63,23]']"
"['CD37[0.00,0.00,0.00]=1.26', '592F[4.00,0.00,0.00]=2.74', '1495[0.00,4.00,0.00]=4.23', '5B01[4.00,4.00,0.00]=5.01', 'le_us=3936', 'est[0.95,0.03,0.62,64]']"
"['CD37[0.00,0.00,0.00]=1.29', '592F[4.00,0.00,0.00]=2.87', '1495[0.00,4.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=4.96', 'le_us=2746', 'est[1.00,-0.00,0.59,64]']"
"['CD37[0.00,0.00,0.00]=1.27', '592F[4.00,0.00,0.00]=3.80', '1495[0.00,4.00,0.00]=4.34', '5B01[4.00,4.00,0.00]=4.96', 'le_us=2655', 'est[0.85,0.18,0.68,29]']"
"['CD37[0.00,0.00,0.00]=1.32', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=4.32', '5B01[4.00,4.00,0.00]=4.96', 'le_us=2563', 'est[0.90,0.11,0.72,57]']"
"['CD37[0.00,0.00,0.00]=1.31', '592F[4.00,0.00,0.00]=3.00', '1495[0.00,4.00,0.00]=4.20', '5B01[4.00,4.00,0.00]=4.95', 'le_us=2777', 'est[0.94,0.08,0.72,63]']"
"['CD37[0.00,0.00,0.00]=1.39', '592F[4.00,0.00,0.00]=3.01', '1495[0.00,4.00,0.00]=4.27', '5B01[4.00,4.00,0.00]=4.95', 'le_us=2746', 'est[0.99,0.05,0.75,60]']"
"['CD37[0.00,0.00,0.00]=1.34', '592F[4.00,0.00,0.00]=2.92', '1495[0.00,4.00,0.00]=4.29', '5B01[4.00,4.00,0.00]=4.91', 'le_us=2777', 'est[1.03,0.02,0.73,64]']"
"['CD37[0.00,0.00,0.00]=1.39', '592F[4.00,0.00,0.00]=2.95', '1495[0.00,4.00,0.00]=4.27', '5B01[4.00,4.00,0.00]=4.82', 'le_us=2563', 'est[1.06,0.01,0.74,63]']"
"['CD37[0.00,0.00,0.00]=1.40', '592F[4.00,0.00,0.00]=2.88', '1495[0.00,4.00,0.00]=4.27', '5B01[4.00,4.00,0.00]=4.88', 'le_us=2929', 'est[1.10,-0.00,0.73,63]']"
"['CD37[0.00,0.00,0.00]=1.47', '592F[4.00,0.00,0.00]=2.81', '1495[0.00,4.00,0.00]=4.24', '5B01[4.00,4.00,0.00]=4.85', 'le_us=2746', 'est[1.14,0.00,0.73,62]']"
"['CD37[0.00,0.00,0.00]=1.50', '592F[4.00,0.00,0.00]=2.88', '1495[0.00,4.00,0.00]=4.32', '5B01[4.00,4.00,0.00]=4.83', 'le_us=2838', 'est[1.17,-0.01,0.75,63]']"
"['CD37[0.00,0.00,0.00]=1.52', '592F[4.00,0.00,0.00]=2.77', '1495[0.00,4.00,0.00]=4.26', '5B01[4.00,4.00,0.00]=4.92', 'le_us=2746', 'est[1.21,-0.00,0.75,62]']"
"['CD37[0.00,0.00,0.00]=1.54', '592F[4.00,0.00,0.00]=2.67', '1495[0.00,4.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=4.78', 'le_us=2777', 'est[1.26,-0.00,0.72,61]']"
"['CD37[0.00,0.00,0.00]=1.56', '592F[4.00,0.00,0.00]=2.87', '1495[0.00,4.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2563', 'est[1.26,-0.01,0.76,60]']"
"['CD37[0.00,0.00,0.00]=1.60', '592F[4.00,0.00,0.00]=2.65', '1495[0.00,4.00,0.00]=4.31', '5B01[4.00,4.00,0.00]=4.76', 'le_us=2746', 'est[1.31,-0.01,0.74,61]']"
"['CD37[0.00,0.00,0.00]=1.63', '592F[4.00,0.00,0.00]=2.80', '1495[0.00,4.00,0.00]=4.27', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2746', 'est[1.32,0.01,0.79,60]']"
"['CD37[0.00,0.00,0.00]=1.69', '592F[4.00,0.00,0.00]=2.59', '1495[0.00,4.00,0.00]=4.23', '5B01[4.00,4.00,0.00]=4.74', 'le_us=2746', 'est[1.37,0.04,0.77,59]']"
"['CD37[0.00,0.00,0.00]=1.65', '592F[4.00,0.00,0.00]=2.45', '1495[0.00,4.00,0.00]=4.31', '5B01[4.00,4.00,0.00]=4.66', 'le_us=2746', 'est[1.43,0.03,0.69,60]']"
"['CD37[0.00,0.00,0.00]=1.70', '592F[4.00,0.00,0.00]=2.41', '1495[0.00,4.00,0.00]=4.31', '5B01[4.00,4.00,0.00]=4.67', 'le_us=2746', 'est[1.48,0.03,0.63,60]']"
"['CD37[0.00,0.00,0.00]=1.72', '592F[4.00,0.00,0.00]=2.47', '1495[0.00,4.00,0.00]=4.34', '5B01[4.00,4.00,0.00]=4.64', 'le_us=2746', 'est[1.51,0.03,0.63,60]']"
"['CD37[0.00,0.00,0.00]=1.77', '592F[4.00,0.00,0.00]=2.44', '1495[0.00,4.00,0.00]=4.38', '5B01[4.00,4.00,0.00]=4.53', 'le_us=3021', 'est[1.54,0.02,0.63,61]']"
"['CD37[0.00,0.00,0.00]=1.78', '592F[4.00,0.00,0.00]=2.33', '1495[0.00,4.00,0.00]=4.30', '5B01[4.00,4.00,0.00]=4.53', 'le_us=2777', 'est[1.59,0.04,0.59,59]']"
"['CD37[0.00,0.00,0.00]=1.81', '592F[4.00,0.00,0.00]=2.44', '1495[0.00,4.00,0.00]=4.33', '5B01[4.00,4.00,0.00]=4.51', 'le_us=2777', 'est[1.61,0.04,0.62,60]']"
"['CD37[0.00,0.00,0.00]=1.82', '592F[4.00,0.00,0.00]=2.36', '1495[0.00,4.00,0.00]=4.34', '5B01[4.00,4.00,0.00]=4.58', 'le_us=2746', 'est[1.63,0.05,0.61,59]']"
"['CD37[0.00,0.00,0.00]=1.89', '592F[4.00,0.00,0.00]=2.33', '1495[0.00,4.00,0.00]=4.33', '5B01[4.00,4.00,0.00]=4.50', 'le_us=2716', 'est[1.67,0.06,0.63,59]']"
"['CD37[0.00,0.00,0.00]=1.89', '592F[4.00,0.00,0.00]=2.34', '1495[0.00,4.00,0.00]=4.31', '5B01[4.00,4.00,0.00]=4.41', 'le_us=2746', 'est[1.69,0.08,0.64,59]']"
"['CD37[0.00,0.00,0.00]=1.97', '592F[4.00,0.00,0.00]=2.33', '5B01[4.00,4.00,0.00]=4.40', 'le_us=640', 'est[1.72,0.12,0.67,72]']"
"['CD37[0.00,0.00,0.00]=1.94', '592F[4.00,0.00,0.00]=2.22', '1495[0.00,4.00,0.00]=4.32', '5B01[4.00,4.00,0.00]=4.38', 'le_us=2990', 'est[1.75,0.13,0.64,58]']"
"['CD37[0.00,0.00,0.00]=1.99', '592F[4.00,0.00,0.00]=2.28', '1495[0.00,4.00,0.00]=4.32', '5B01[4.00,4.00,0.00]=4.32', 'le_us=3021', 'est[1.78,0.14,0.66,58]']"
"['CD37[0.00,0.00,0.00]=2.01', '592F[4.00,0.00,0.00]=2.28', '1495[0.00,4.00,0.00]=4.40', '5B01[4.00,4.00,0.00]=4.35', 'le_us=2990', 'est[1.80,0.12,0.69,59]']"
"['CD37[0.00,0.00,0.00]=2.05', '592F[4.00,0.00,0.00]=2.19', '1495[0.00,4.00,0.00]=4.38', '5B01[4.00,4.00,0.00]=4.31', 'le_us=3051', 'est[1.83,0.12,0.69,59]']"
"['592F[4.00,0.00,0.00]=2.21', '1495[0.00,4.00,0.00]=4.40', '5B01[4.00,4.00,0.00]=4.30', 'le_us=701', 'est[1.90,0.16,0.24,57]']"
"['CD37[0.00,0.00,0.00]=2.11', '592F[4.00,0.00,0.00]=2.22', '1495[0.00,4.00,0.00]=4.34', '5B01[4.00,4.00,0.00]=4.29', 'le_us=2746', 'est[1.91,0.17,0.38,58]']"
"['CD37[0.00,0.00,0.00]=2.14', '592F[4.00,0.00,0.00]=2.19', '1495[0.00,4.00,0.00]=4.34', '5B01[4.00,4.00,0.00]=4.35', 'le_us=2777', 'est[1.92,0.18,0.49,57]']"
"['CD37[0.00,0.00,0.00]=2.18', '592F[4.00,0.00,0.00]=2.13', '1495[0.00,4.00,0.00]=4.35', '5B01[4.00,4.00,0.00]=4.25', 'le_us=2777', 'est[1.95,0.22,0.55,55]']"
"['CD37[0.00,0.00,0.00]=2.17', '592F[4.00,0.00,0.00]=2.10', '1495[0.00,4.00,0.00]=4.42', '5B01[4.00,4.00,0.00]=4.25', 'le_us=2960', 'est[1.97,0.23,0.59,56]']"
"['CD37[0.00,0.00,0.00]=2.20', '592F[4.00,0.00,0.00]=1.97', '1495[0.00,4.00,0.00]=4.41', '5B01[4.00,4.00,0.00]=4.26', 'le_us=2807', 'est[2.01,0.23,0.58,57]']"
"['592F[4.00,0.00,0.00]=2.04', 'CD37[0.00,0.00,0.00]=2.22', '5B01[4.00,4.00,0.00]=4.28', '1495[0.00,4.00,0.00]=4.38', 'le_us=2746', 'est[2.03,0.23,0.26,57]']"
"['592F[4.00,0.00,0.00]=2.04', 'CD37[0.00,0.00,0.00]=2.30', '5B01[4.00,4.00,0.00]=4.24', '1495[0.00,4.00,0.00]=4.35', 'le_us=2746', 'est[2.06,0.24,-0.00,56]']"
"['592F[4.00,0.00,0.00]=1.99', 'CD37[0.00,0.00,0.00]=2.31', '5B01[4.00,4.00,0.00]=4.20', '1495[0.00,4.00,0.00]=4.39', 'le_us=2777', 'est[2.09,0.25,-0.18,56]']"
"['592F[4.00,0.00,0.00]=1.91', 'CD37[0.00,0.00,0.00]=2.30', '5B01[4.00,4.00,0.00]=4.22', '1495[0.00,4.00,0.00]=4.42', 'le_us=2777', 'est[2.12,0.25,-0.29,57]']"
"['592F[4.00,0.00,0.00]=1.94', 'CD37[0.00,0.00,0.00]=2.31', '5B01[4.00,4.00,0.00]=4.24', '1495[0.00,4.00,0.00]=4.38', 'le_us=2777', 'est[2.14,0.24,-0.39,57]']"
"['592F[4.00,0.00,0.00]=1.96', 'CD37[0.00,0.00,0.00]=2.37', '5B01[4.00,4.00,0.00]=4.17', '1495[0.00,4.00,0.00]=4.38', 'le_us=2777', 'est[2.16,0.26,-0.48,56]']"
"['592F[4.00,0.00,0.00]=1.86', 'CD37[0.00,0.00,0.00]=2.40', '5B01[4.00,4.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.43', 'le_us=3051', 'est[2.19,0.29,-0.52,54]']"
"['592F[4.00,0.00,0.00]=1.83', 'CD37[0.00,0.00,0.00]=2.44', '5B01[4.00,4.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.39', 'le_us=2777', 'est[2.22,0.31,-0.55,55]']"
"['592F[4.00,0.00,0.00]=1.79', 'CD37[0.00,0.00,0.00]=2.41', '5B01[4.00,4.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.36', 'le_us=2807', 'est[2.25,0.30,-0.55,56]']"
"['592F[4.00,0.00,0.00]=1.80', 'CD37[0.00,0.00,0.00]=2.46', '5B01[4.00,4.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.35', 'le_us=2807', 'est[2.28,0.32,-0.57,54]']"
"['592F[4.00,0.00,0.00]=1.86', 'CD37[0.00,0.00,0.00]=2.49', '5B01[4.00,4.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.40', 'le_us=2746', 'est[2.29,0.35,-0.61,53]']"
"['592F[4.00,0.00,0.00]=1.74', 'CD37[0.00,0.00,0.00]=2.49', '5B01[4.00,4.00,0.00]=3.93', '1495[0.00,4.00,0.00]=4.38', 'le_us=3112', 'est[2.34,0.34,-0.29,56]']"
"['592F[4.00,0.00,0.00]=1.67', 'CD37[0.00,0.00,0.00]=2.52', '5B01[4.00,4.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.48', 'le_us=3112', 'est[2.38,0.32,-0.06,58]']"
"['592F[4.00,0.00,0.00]=1.74', 'CD37[0.00,0.00,0.00]=2.49', '5B01[4.00,4.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.39', 'le_us=2746', 'est[2.39,0.33,-0.18,54]']"
"['592F[4.00,0.00,0.00]=1.74', 'CD37[0.00,0.00,0.00]=2.59', '5B01[4.00,4.00,0.00]=3.98', '1495[0.00,4.00,0.00]=4.55', 'le_us=3082', 'est[2.40,0.35,-0.31,54]']"
"['592F[4.00,0.00,0.00]=1.69', 'CD37[0.00,0.00,0.00]=2.67', '5B01[4.00,4.00,0.00]=3.96', '1495[0.00,4.00,0.00]=4.49', 'le_us=2777', 'est[2.44,0.36,-0.42,55]']"
"['592F[4.00,0.00,0.00]=1.64', 'CD37[0.00,0.00,0.00]=2.64', '5B01[4.00,4.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.50', 'le_us=2746', 'est[2.46,0.35,-0.48,56]']"
"['592F[4.00,0.00,0.00]=1.62', 'CD37[0.00,0.00,0.00]=2.64', '5B01[4.00,4.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.48', 'le_us=2960', 'est[2.48,0.35,-0.52,56]']"
"['592F[4.00,0.00,0.00]=1.57', 'CD37[0.00,0.00,0.00]=2.68', '5B01[4.00,4.00,0.00]=3.97', '1495[0.00,4.00,0.00]=4.51', 'le_us=2777', 'est[2.51,0.34,-0.54,56]']"
"['592F[4.00,0.00,0.00]=1.59', 'CD37[0.00,0.00,0.00]=2.75', '1495[0.00,4.00,0.00]=4.50', 'le_us=610', 'est[2.54,0.36,-0.57,67]']"
"['592F[4.00,0.00,0.00]=1.57', 'CD37[0.00,0.00,0.00]=2.70', '5B01[4.00,4.00,0.00]=3.89', '1495[0.00,4.00,0.00]=4.50', 'le_us=2746', 'est[2.55,0.38,-0.58,54]']"
"['592F[4.00,0.00,0.00]=1.51', 'CD37[0.00,0.00,0.00]=2.79', '5B01[4.00,4.00,0.00]=3.90', '1495[0.00,4.00,0.00]=4.58', 'le_us=2777', 'est[2.59,0.38,-0.59,56]']"
"['592F[4.00,0.00,0.00]=1.55', 'CD37[0.00,0.00,0.00]=2.81', '5B01[4.00,4.00,0.00]=3.85', '1495[0.00,4.00,0.00]=4.59', 'le_us=2746', 'est[2.61,0.40,-0.62,55]']"
"['592F[4.00,0.00,0.00]=1.49', 'CD37[0.00,0.00,0.00]=2.80', '5B01[4.00,4.00,0.00]=3.86', '1495[0.00,4.00,0.00]=4.59', 'le_us=3082', 'est[2.63,0.40,-0.61,55]']"
"['592F[4.00,0.00,0.00]=1.46', 'CD37[0.00,0.00,0.00]=2.82', '5B01[4.00,4.00,0.00]=3.81', '1495[0.00,4.00,0.00]=4.57', 'le_us=2777', 'est[2.66,0.42,-0.60,54]']"
